School Name,Department Name,URL,Duration_Study_list
Erasmus Universitiet Rotterdam,Arts and Culture Studies (deeltijd),https://www.eur.nl/en/master/arts-and-culture-studies-deeltijd,2 years
Erasmus Universitiet Rotterdam,Maatschappijgeschiedenis (deeltijd),https://www.eur.nl/master/maatschappijgeschiedenis-deeltijd,2 years
Erasmus Universitiet Rotterdam,Media Studies (deeltijd),https://www.eur.nl/master/media-studies-deeltijd,2 years
Erasmus Universitiet Rotterdam,Nanobiology,https://www.eur.nl/en/bachelor/nanobiology,3 years
Erasmus Universitiet Rotterdam,Double bachelor BSc² in Econometrics and Economics,https://www.eur.nl/en/bachelor/double-bachelor-bsc2-econometrics-and-economics,4 years
Erasmus Universitiet Rotterdam,Executive MBA,https://www.eur.nl/en/post-master/executive-mba,18 months
Erasmus Universitiet Rotterdam,Global Executive MBA,https://www.eur.nl/en/post-master/global-executive-mba,21 months
Erasmus Universitiet Rotterdam,Klinische Technologie,https://www.eur.nl/bachelor/klinische-technologie,3 years
Erasmus Universitiet Rotterdam,International Bachelor Arts and Culture Studies,https://www.eur.nl/en/bachelor/international-bachelor-arts-and-culture-studies,3 years
Erasmus Universitiet Rotterdam,International Bachelor History,https://www.eur.nl/en/bachelor/international-bachelor-history,3 years
Erasmus Universitiet Rotterdam,International Bachelor in Psychology,https://www.eur.nl/en/bachelor/international-bachelor-psychology,3 years
Erasmus Universitiet Rotterdam,Health Care Management,https://www.eur.nl/en/master/health-care-management,1 year
Erasmus Universitiet Rotterdam,Global History and International Relations,https://www.eur.nl/en/master/global-history-and-international-relations,1 year
Erasmus Universitiet Rotterdam,Quantitative Finance,https://www.eur.nl/en/master/quantitative-finance,1 year
Erasmus Universitiet Rotterdam,Media en Journalistiek,https://www.eur.nl/en/master/media-en-journalistiek,1 year
Erasmus Universitiet Rotterdam,International and European Union Law,https://www.eur.nl/en/master/international-and-european-union-law,1 year
