School Name,Department Name,URL,Degree,Description
Bath Spa University,Interior Design,https://www.bathspa.ac.uk/courses/ug-interior-design/,Level: Undergraduate,Learn to transform and repurpose spaces on our new Interior Design course.
Bath Spa University,International Commercial Law,https://www.bathspa.ac.uk/courses/pg-international-commercial-law/,Level: Postgraduate,Prepare to excel in the fast-paced world of international commerce and law with this comprehensive and forward-thinking Master's degree.
Bath Spa University,International Relations and History,https://www.bathspa.ac.uk/courses/ug-international-relations-and-history/,Level: Undergraduate,Explore the impact of local and national politics and how history informs change with our International Relations and History degree.
Bath Spa University,International Relations and Politics,https://www.bathspa.ac.uk/courses/ug-international-relations-and-politics/,Level: Undergraduate,"Explore the complexities of the contemporary world by examining the mechanisms for, or absence of, international governance with our innovative International Relations and Politics degree."
Bath Spa University,Introduction to Amharic and the Ethiopian Alphabet,https://www.bathspa.ac.uk/courses/sc-amharic-language/,Level: Short Course,"Learn about one of the diplomatic languages of Africa, how to read and write your own name in Amharic and how the Ethiopian alphabet differs from English."
Bath Spa University,Introduction to Immersive Audio,https://www.bathspa.ac.uk/courses/sc-immersive-audio/,Level: Short Course,Discover immersive audio techniques using binaural and ambisonic technologies.
Bath Spa University,Introduction to Sports Media,https://www.bathspa.ac.uk/courses/sc-sports-media/,Level: Short Course,Learn the fundamentals of covering live sports events from the grounds of Bath City Football Club.
Bath Spa University,Introduction to Writing for Young People,https://www.bathspa.ac.uk/courses/sc-introduction-to-wfyp/,Level: Short Course,"Learn about the craft of writing for children and young adults over eight weeks of creative writing exercises, class discussions and workshops."
Bath Spa University,Journalism and Publishing,https://www.bathspa.ac.uk/courses/ug-journalism-and-publishing/,Level: Undergraduate,Become a journalist for the 21st century and tell the stories that matter.
Bath Spa University,Law,https://www.bathspa.ac.uk/courses/ug-law/,Level: Undergraduate,Prepare for a career within and beyond law with our Law degree. Provide support for real situations in our legal clinic.
Bath Spa University,Law and Business,https://www.bathspa.ac.uk/courses/pg-law-and-business/,Level: Postgraduate,A contemporary and forward-thinking Master's degree aimed at developing creative professionals and entrepreneurs.
Bath Spa University,Law and Politics,https://www.bathspa.ac.uk/courses/ug-law-and-politics/,Level: Undergraduate,Develop practical and vocational skills alongside your knowledge of legal theory and specialised subject knowledge from our innovative Politics course.
